Tick,ActivateBoost,DodgeForward,DodgeStrafe,Handbrake,HoldingBoost,Jump,Jumped,Pitch,Roll,Steer,Throttle,Yaw
92,1,-1,-0.1875,0,1,1,0,1,-1,-0.1875,1,-0.1875
93,1,-1,-0.234375,0,1,1,0,1,-1,-0.234375,1,-0.234375
94,1,-1,-0.242188,0,1,1,0,1,-1,-0.242188,1,-0.242188
95,1,-1,-0.257813,0,1,1,0,1,-1,-0.257813,1,-0.257813
96,1,-1,-0.28125,0,1,1,0,1,-1,-0.28125,1,-0.28125
97,1,-1,-0.304688,0,1,1,0,1,-1,-0.304688,1,-0.304688
98,1,-1,-0.3125,0,1,1,0,1,-1,-0.3125,1,-0.3125
99,1,-1,-0.3125,0,1,1,0,1,-1,-0.3125,1,-0.3125
100,1,-1,-0.328125,0,1,1,0,1,-1,-0.328125,1,-0.328125
101,1,-1,-0.34375,0,1,1,0,1,-1,-0.34375,1,-0.34375
102,1,-1,-0.351563,0,1,1,0,1,-1,-0.351563,1,-0.351563
103,1,-1,-0.351563,0,1,1,0,1,-1,-0.351563,1,-0.351563
104,1,-1,-0.351563,0,1,1,0,1,-1,-0.351563,1,-0.351563
105,1,-1,-0.359375,0,1,1,0,1,-1,-0.359375,1,-0.359375
106,1,-1,-0.359375,0,1,1,0,1,-1,-0.359375,1,-0.359375
107,1,-1,-0.367188,0,1,1,0,1,-1,-0.367188,1,-0.367188
108,1,-1,-0.367188,0,1,1,0,1,-1,-0.367188,1,-0.367188
109,1,-1,-0.398438,0,1,1,0,1,-1,-0.398438,1,-0.398438
110,1,-1,-0.40625,0,1,1,0,1,-1,-0.40625,1,-0.40625
111,1,-0.992188,-0.421875,0,1,1,0,0.992126,-1,-0.421875,1,-0.421875
112,1,-0.992188,-0.429688,0,1,1,0,0.992126,-1,-0.429688,1,-0.429688
113,1,-0.984375,-0.4375,0,1,1,0,0.984252,-1,-0.4375,1,-0.4375
114,1,-0.976563,-0.460938,0,1,1,0,0.976378,-1,-0.460938,1,-0.460938
115,1,-0.96875,-0.46875,0,1,1,0,0.968504,-1,-0.46875,1,-0.46875
116,1,-0.96875,-0.46875,0,1,1,0,0.968504,-1,-0.46875,1,-0.46875
117,1,-0.960938,-0.476563,0,1,1,0,0.968504,-1,-0.476563,1,-0.476563
118,1,-0.953125,-0.492188,0,1,1,0,0.952756,-1,-0.492188,1,-0.492188
119,1,-0.953125,-0.5,0,1,1,0,0.952756,-1,-0.5,1,-0.5
120,1,-0.945313,-0.507813,0,1,1,0,0.944882,-1,-0.507813,1,-0.507813
121,1,-0.9375,-0.515625,0,1,1,0,0.937008,-1,-0.515625,1,-0.515625
122,1,-0.929688,-0.539063,0,1,1,0,0.929134,-1,-0.539063,1,-0.539063
123,1,-0.921875,-0.554688,0,1,1,0,0.92126,-1,-0.554688,1,-0.554688
124,1,-0.921875,-0.554688,0,1,1,0,0.92126,-1,-0.554688,1,-0.554688
125,1,-0.914063,-0.554688,0,1,1,0,0.913386,-1,-0.554688,1,-0.554688
126,1,-0.914063,-0.5625,0,1,1,0,0.913386,-1,-0.5625,1,-0.5625
127,1,-0.914063,-0.5625,0,1,1,0,0.913386,-1,-0.5625,1,-0.5625
128,1,-0.90625,-0.570313,0,1,1,0,0.905512,-1,-0.570313,1,-0.570313
129,1,-0.90625,-0.570313,0,1,1,0,0.905512,-1,-0.570313,1,-0.570313
130,1,-0.898438,-0.585938,0,1,1,0,0.897638,-1,-0.585938,1,-0.585938
131,1,-0.890625,-0.59375,0,1,1,0,0.889764,-1,-0.59375,1,-0.59375
132,1,-0.882813,-0.609375,0,1,1,0,0.88189,-1,-0.609375,1,-0.609375
133,1,-0.882813,-0.609375,0,1,1,0,0.88189,-1,-0.609375,1,-0.609375
134,1,-0.875,-0.617188,0,1,1,0,0.874016,-1,-0.617188,1,-0.617188
135,1,-0.867188,-0.625,0,1,1,0,0.866142,-1,-0.625,1,-0.625
136,1,-0.867188,-0.625,0,1,1,0,0.866142,-1,-0.625,1,-0.625
137,1,-0.867188,-0.632813,0,1,1,0,0.866142,-1,-0.632813,1,-0.632813
138,1,-0.859375,-0.640625,0,1,1,0,0.858268,-1,-0.640625,1,-0.640625
139,1,-0.851563,-0.648438,0,1,1,0,0.850394,-1,-0.648438,1,-0.648438
140,1,-0.84375,-0.65625,0,1,1,0,0.84252,-1,-0.65625,1,-0.65625
141,1,-0.84375,-0.65625,0,1,1,0,0.84252,-1,-0.65625,1,-0.65625
142,1,-0.835938,-0.671875,0,1,1,0,0.834646,-1,-0.671875,1,-0.671875
143,1,-0.828125,-0.679688,0,1,1,0,0.826772,-1,-0.679688,1,-0.679688
144,1,-0.8125,-0.695313,0,1,1,0,0.811024,-1,-0.695313,1,-0.695313
145,1,-0.804688,-0.703125,0,1,1,0,0.811024,-1,-0.703125,1,-0.703125
146,1,-0.804688,-0.710938,0,1,1,0,0.80315,-1,-0.710938,1,-0.710938
147,1,-0.796875,-0.710938,0,1,1,0,0.795276,-1,-0.710938,1,-0.710938
148,1,-0.789063,-0.71875,0,1,1,0,0.795276,-1,-0.71875,1,-0.71875
149,1,-0.789063,-0.71875,0,1,1,0,0.787402,-1,-0.71875,1,-0.71875
150,1,-0.789063,-0.71875,0,1,1,0,0.787402,-1,-0.71875,1,-0.71875
151,1,-0.789063,-0.71875,0,1,1,0,0.787402,-1,-0.71875,1,-0.71875
152,1,-0.789063,-0.71875,0,1,1,0,0.787402,-1,-0.71875,1,-0.71875
153,1,-0.789063,-0.71875,0,1,1,0,0.787402,-1,-0.71875,1,-0.71875
154,1,-0.796875,-0.710938,0,1,1,0,0.795276,-1,-0.710938,1,-0.710938
155,1,-0.835938,-0.671875,0,1,1,0,0.834646,-1,-0.671875,1,-0.671875
156,1,-0.851563,-0.648438,0,1,1,0,0.850394,-1,-0.648438,1,-0.648438
157,1,-0.859375,-0.640625,0,1,1,0,0.858268,-1,-0.640625,1,-0.640625
158,1,-0.882813,-0.609375,0,1,1,0,0.88189,-1,-0.609375,1,-0.609375
159,1,-0.890625,-0.59375,0,1,1,0,0.889764,-1,-0.59375,1,-0.59375
160,1,-0.921875,-0.546875,0,1,1,0,0.92126,-1,-0.546875,1,-0.546875
161,1,-0.9375,-0.523438,0,1,1,0,0.937008,-1,-0.523438,1,-0.523438
162,1,-0.96875,-0.476563,0,1,1,0,0.968504,-1,-0.476563,1,-0.476563
163,1,-1,-0.304688,0,1,1,0,1,-1,-0.304688,1,-0.304688
164,1,-1,-0.242188,0,1,1,0,1,-1,-0.242188,1,-0.242188
165,1,-1,-0.109375,0,1,1,0,1,-1,-0.109375,1,-0.109375
166,1,-1,-0.0234375,0,1,1,0,1,-1,-0.0234375,1,-0.0234375
167,1,-1,0,0,1,1,0,1,-1,0,1,0
168,1,-1,0,0,1,1,0,1,-1,0,1,0
169,1,-1,0,0,1,1,0,1,-1,0,1,0
170,1,-1,0,0,1,1,0,1,-1,0,1,0
171,1,-1,0.0393701,0,1,1,0,1,-1,0.0393701,1,0.0393701
172,1,-1,0.0866142,0,1,1,0,1,-1,0.0866142,1,0.0866142
173,1,-1,0.110236,0,1,1,0,1,-1,0.110236,1,0.110236
174,1,-1,0.141732,0,1,1,0,1,-1,0.141732,1,0.141732
175,1,-1,0.15748,0,1,1,0,1,-1,0.15748,1,0.15748
176,1,-1,0.181102,0,1,1,0,1,-1,0.181102,1,0.181102
177,1,-1,0.204724,0,1,1,0,1,-1,0.204724,1,0.204724
178,1,-1,0.220472,0,1,1,0,1,-1,0.220472,1,0.220472
179,1,-1,0.251969,0,1,1,0,1,-1,0.251969,1,0.251969
180,1,-1,0.259843,0,1,1,0,1,-1,0.259843,1,0.259843
181,1,-1,0.291339,0,1,1,0,1,-1,0.291339,1,0.291339
182,1,-1,0.299213,0,1,1,0,1,-1,0.299213,1,0.299213
183,1,-1,0.299213,0,1,1,0,1,-1,0.299213,1,0.299213
184,1,-1,0.307087,0,1,1,0,1,-1,0.307087,1,0.307087
185,1,-1,0.307087,0,1,1,0,1,-1,0.307087,1,0.307087
186,1,-1,0.307087,0,1,1,0,1,-1,0.307087,1,0.307087
187,1,-1,0.307087,0,1,1,0,1,-1,0.307087,1,0.307087
188,1,-1,0.275591,0,1,1,0,1,0,0.275591,1,0.275591
189,1,-0.976563,0.244094,0,1,1,0,0.976378,0,0.244094,1,0.244094
190,1,-0.882813,0.149606,0,1,1,0,0.88189,0,0.149606,1,0.149606
191,1,-0.664063,0,0,1,1,0,0.669291,0,0,1,0
192,1,-0.539063,0,0,1,1,0,0.535433,0,0,1,0
193,1,-0.367188,0,0,1,1,0,0.362205,0,0,1,0
194,1,-0.257813,0,0,1,1,0,0.259843,0,0,1,0
195,1,-0.0390625,0,0,1,0,0,0.0393701,0,0,1,0
196,1,0,0,0,1,0,0,0,0,0,1,0
197,1,0,0,0,1,0,0,0,0,0,1,0
198,1,0,0,0,1,0,0,0,0,0,1,0
199,1,0,0,0,1,0,0,0,0,0,1,0
200,1,0,0,0,1,0,0,0,0,0,1,0
201,1,0,0,0,1,0,0,0,0,0,1,0
202,1,0,0,0,1,0,0,0,0,0,1,0
203,1,0,0,0,1,0,0,0,0,0,1,0
204,1,0,0,0,1,0,0,0,0,0,1,0
205,1,0,0,0,1,0,0,0,0,0,1,0
206,1,0,0,0,1,0,0,0,0,0,1,0
207,1,0,0,0,1,0,0,0,0,0,1,0
208,1,0,0,0,1,0,0,0,0,0,1,0
209,1,0,0,0,1,0,0,0,0,0,1,0
210,1,0,0,0,1,0,0,0,0,0,1,0
211,1,0,0,0,1,0,0,0,0,0,1,0
212,1,0,0,0,1,0,0,0,0,0,1,0
213,1,0,0,0,1,0,0,0,0,0,1,0
214,1,0,0,0,1,0,0,0,0,0,1,0
215,1,0,0,0,1,0,0,0,0,0,1,0
216,1,0,0,0,1,0,0,0,0,0,1,0
217,1,0,0,0,1,0,0,0,0,0,1,0
218,1,0,0,0,1,0,0,0,0,0,1,0
219,1,0,0,0,1,0,0,0,0,0,1,0
220,1,0,0,0,1,0,0,0,0,0,1,0
221,1,0,-0.117188,0,1,0,0,0,0,-0.117188,1,-0.117188
222,1,-0.0625,-0.210938,0,1,0,0,0.0629921,0,-0.210938,1,-0.210938
223,1,-0.273438,-0.476563,0,1,0,0,0.275591,0,-0.476563,1,-0.476563
224,1,-0.359375,-0.59375,0,1,0,0,0.362205,0,-0.59375,1,-0.59375
225,1,-0.476563,-0.820313,0,1,0,0,0.472441,0,-0.820313,1,-0.820313
226,1,-0.53125,-0.929688,0,1,0,0,0.527559,0,-0.929688,1,-0.929688
227,1,-0.539063,-0.929688,0,1,0,0,0.535433,0,-0.929688,1,-0.929688
228,1,-0.5625,-0.914063,0,1,0,0,0.566929,0,-0.914063,1,-0.914063
229,1,-0.585938,-0.898438,0,1,0,0,0.590551,0,-0.898438,1,-0.898438
230,1,-0.617188,-0.875,0,1,0,0,0.622047,0,-0.875,1,-0.875
231,1,-0.640625,-0.851563,0,1,0,0,0.645669,0,-0.851563,1,-0.851563
232,1,-0.664063,-0.835938,0,1,0,0,0.661417,0,-0.835938,1,-0.835938
233,1,-0.765625,-0.734375,0,1,0,0,0.76378,0,-0.734375,1,-0.734375
234,1,-0.765625,-0.664063,0,1,0,0,0.771654,0,-0.664063,1,-0.664063
235,1,-0.71875,-0.476563,0,1,0,0,0.716535,0,-0.476563,1,-0.476563
236,1,-0.664063,-0.34375,0,1,0,0,0.661417,0,-0.34375,1,-0.34375
237,1,-0.515625,-0.148438,0,1,0,0,0.511811,0,-0.148438,1,-0.148438
238,1,-0.375,0,0,1,0,0,0.377953,0,0,1,0
239,1,-0.296875,0,0,1,0,0,0.291339,0,0,1,0
